"direction","street","crossStreet","intersection","Location.1"
"1","N/B","Caton Ave","Benson Ave","Caton Ave & Benson Ave","(39.2693779962, -76.6688185297)"
"2","S/B","Caton Ave","Benson Ave","Caton Ave & Benson Ave","(39.2693157898, -76.6689698176)"
"3","E/B","Wilkens Ave","Pine Heights","Wilkens Ave & Pine Heights","(39.2720252302, -76.676960806)"
"4","S/B","The Alameda","33rd St","The Alameda  & 33rd St","(39.3285013141, -76.5953545714)"
"5","E/B","E 33rd","The Alameda","E 33rd  & The Alameda","(39.3283410623, -76.5953594625)"
"6","E/B","Erdman","Macon St","Erdman  & Macon St","(39.3068045671, -76.5593167803)"
"7","W/B","Erdman","Macon St","Erdman  & Macon St","(39.306966535, -76.5593122365)"
"8","S/B","Charles","Lake Ave","Charles & Lake Ave","(39.3690535299, -76.625826716)"
"9","W/B","Madison","Caroline St","Madison  & Caroline St","(39.2993257666, -76.5976760827)"
"10","E/B","Orleans","Linwood Ave","Orleans   & Linwood Ave","(39.2958661981, -76.5764270078)"
"11","E/B","Eastern","Kane St","Eastern  & Kane St","(39.2877626582, -76.5371017795)"
"12","E/B","Edmonson","Cooks Lane","Edmonson  & Cooks Lane","(39.2923680595, -76.7017056326)"
"13","W/B","Franklin","Pulaski St","Franklin  & Pulaski St","(39.2937082594, -76.6503837515)"
"14","E/B","Orleans","Gay St","Orleans  & Gay St","(39.2947203114, -76.606128007)"
"15","N/B","MLK Jr. Blvd.","Washington Blvd","MLK Jr. Blvd.  & Washington Blvd","(39.2834598231, -76.6261138807)"
"16","S/B","Hillen Rd","Argonne Drive","Hillen Rd  & Argonne Drive","(39.3399907644, -76.588021025)"
"17","W/B","North Ave","Howard St","North Ave  & Howard St","(39.3110873669, -76.6193071428)"
"18","W/B","Patapsco  ","4th St","Patapsco  
 & 4th St","(39.2372692804, -76.6054039252)"
"19","S/B","Reisterstown","Fallstaff Road","Reisterstown   & Fallstaff Road","(39.3621351031, -76.7102427408)"
"20","N/B","Park Heights","Hayward Ave","Park Heights   & Hayward Ave","(39.3499204055, -76.6788706721)"
"21","S/B","Park Heights","Hayward Ave","Park Heights   & Hayward Ave","(39.3499204055, -76.6788706721)"
