Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10645688,1,"Sunday, January 27, 2013 12:51:21 UTC",58.8383,-153.5977,2.5,159.00,13,"Kodiak Island region, Alaska"
ak,10645683,1,"Sunday, January 27, 2013 12:39:15 UTC",63.6111,-147.5207,1.7,0.10,12,"Central Alaska"
nc,71929591,0,"Sunday, January 27, 2013 12:21:35 UTC",38.8285,-122.8515,1.0,2.60,23,"Northern California"
ak,10645675,1,"Sunday, January 27, 2013 12:07:37 UTC",62.1572,-149.7106,1.5,24.50, 9,"Central Alaska"
ak,10645671,1,"Sunday, January 27, 2013 12:00:08 UTC",60.3004,-151.1913,1.8,8.50,12,"Kenai Peninsula, Alaska"
pr,13027002,0,"Sunday, January 27, 2013 11:47:25 UTC",17.9853,-65.3796,2.5,17.00,11,"Puerto Rico region"
us,c000ewdp,8,"Sunday, January 27, 2013 11:39:12 UTC",32.3908,141.8446,4.6,34.40,67,"Izu Islands, Japan region"
ak,10645665,1,"Sunday, January 27, 2013 11:35:14 UTC",59.9111,-140.1559,2.4,10.30,17,"Southeastern Alaska"
pr,13027001,0,"Sunday, January 27, 2013 11:06:44 UTC",18.0860,-66.0725,3.0,22.00,22,"Puerto Rico"
ak,10645659,1,"Sunday, January 27, 2013 10:56:57 UTC",63.1523,-151.3558,1.6,5.00, 7,"Central Alaska"
nc,71929581,0,"Sunday, January 27, 2013 10:51:44 UTC",36.0097,-120.9628,1.6,6.60,15,"Central California"
nc,71929576,0,"Sunday, January 27, 2013 10:32:54 UTC",36.2883,-120.8342,1.7,8.70,14,"Central California"
ak,10645655,1,"Sunday, January 27, 2013 10:18:25 UTC",61.4461,-148.9541,1.7,35.00, 6,"Southern Alaska"
ak,10645652,1,"Sunday, January 27, 2013 10:18:10 UTC",60.0636,-141.1076,2.0,12.10, 5,"Southern Alaska"
ak,10645646,1,"Sunday, January 27, 2013 10:17:59 UTC",59.9279,-151.3173,1.7,70.00, 8,"Kenai Peninsula, Alaska"
us,c000ewcv,A,"Sunday, January 27, 2013 09:59:27 UTC",-16.1052,-173.2403,5.7,8.60,512,"Tonga"
nc,71929561,0,"Sunday, January 27, 2013 09:55:01 UTC",38.8432,-122.8318,1.2,2.30,19,"Northern California"
ci,15278161,0,"Sunday, January 27, 2013 09:32:34 UTC",33.1958,-117.3935,1.5,8.50,26,"Gulf of Santa Catalina, California"
ak,10645632,1,"Sunday, January 27, 2013 09:19:59 UTC",60.2673,-148.7615,1.9,12.30, 7,"Kenai Peninsula, Alaska"
nc,71929556,0,"Sunday, January 27, 2013 09:14:59 UTC",38.5115,-122.2898,2.2,0.00, 8,"Northern California"
ak,10645621,1,"Sunday, January 27, 2013 08:34:04 UTC",62.2322,-149.8804,1.7,16.40, 9,"Central Alaska"
ci,15278145,0,"Sunday, January 27, 2013 08:25:05 UTC",32.7878,-116.6390,1.7,18.00,48,"Southern California"
nn,00401024,9,"Sunday, January 27, 2013 08:22:06 UTC",39.5403,-119.9700,1.6,8.80,26,"Nevada"
nc,71929541,1,"Sunday, January 27, 2013 08:21:46 UTC",38.5257,-122.6568,1.7,6.40,14,"Northern California"
